Time (s),Channel 1 (V),Channel 2 (V)
0.00090145,2.295985029,2.440600178
0.0009075,2.294979242,2.441128517
0.00091355,2.292930418,2.440411486
0.0009196,2.290322823,2.439128377
0.00092565,2.288199496,2.438486823
0.0009317,2.285964415,2.437769792
0.00093775,2.284139099,2.437732054
0.0009438,2.281531505,2.436864069
0.00094985,2.278327888,2.434637499
0.0009559,2.275906551,2.433505344
0.00096195,2.274379245,2.433807252
0.000968,2.272144164,2.43312796
0.00097405,2.268940548,2.431203297
0.0009801,2.265774183,2.429693758
0.00098615,2.263464599,2.429052204
0.0009922,2.262160802,2.429429589
0.00099825,2.259292448,2.428071004
0.0010043,2.255828073,2.425768956
0.00101035,2.253630243,2.425014187
0.0010164,2.251320659,2.424561325
0.00102245,2.248340551,2.423240478
0.0010285,2.245136935,2.421844155
0.00103455,2.242417586,2.420674262
0.0010406,2.23977274,2.419315677
0.00104665,2.23645737,2.417806138
0.0010527,2.233663519,2.416711722
0.00105875,2.231540192,2.41576826
0.0010648,2.228560084,2.414070028
0.00107085,2.225356468,2.412522751
0.0010769,2.222339108,2.411013212
0.00108295,2.219321749,2.40931498
0.001089,2.216751406,2.408371518
0.00109505,2.21354779,2.406711025
0.0011011,2.209301136,2.403729685
0.00110715,2.207103306,2.403352301
0.0011132,2.204979979,2.402937177
0.00111925,2.200472565,2.399880361
0.0011253,2.197417955,2.398333083
0.00113135,2.195220125,2.397314144
0.0011374,2.192277268,2.395502697
0.00114345,2.189222658,2.393766727
0.0011495,2.185460271,2.391313726
0.00115555,2.183038933,2.390370264
0.0011616,2.180170579,2.389011679
0.00116765,2.176110182,2.386105816
0.0011737,2.173465336,2.384445323
0.00117975,2.171528266,2.383954723
0.0011858,2.168101142,2.381614938
0.00119185,2.164338755,2.378558121
0.0011979,2.161619407,2.37735049
0.00120395,2.158825555,2.375727735
0.00121,2.156366966,2.374255934
0.00121605,2.153833874,2.372708657
0.0012221,2.149959734,2.369802794
0.00122815,2.14627185,2.367387531
0.0012342,2.143477999,2.365802515
0.00124025,2.141652683,2.364632623
0.0012463,2.138300061,2.362066406
0.00125235,2.134761183,2.359198282
0.0012584,2.132935867,2.357990651
0.00126445,2.130477277,2.35651885
0.0012705,2.127012902,2.353877156
0.00127655,2.123436772,2.350933555
0.0012826,2.120419413,2.348706985
0.00128865,2.11784907,2.346820061
0.0012947,2.115837497,2.345423737
0.00130075,2.112782886,2.343197167
0.0013068,2.109467516,2.340366781
0.00131285,2.107008927,2.33866855
0.0013189,2.104140572,2.336819365
0.00132495,2.102203502,2.334177671
0.001331,2.100303683,2.331535978
0.00133705,2.096690302,2.329384884
0.0013431,2.093523938,2.327120576
0.00134915,2.091251605,2.325120436
0.0013552,2.088681262,2.32304482
0.00136125,2.086222673,2.320893727
0.0013673,2.08365233,2.318629418
0.00137335,2.08119374,2.316478325
0.0013794,2.078325386,2.313761155
0.00138545,2.075494284,2.311043984
0.0013915,2.073370957,2.30893063
0.00139755,2.071471138,2.307119183
0.0014036,2.068900795,2.305043566
0.00140965,2.066442206,2.302590565
0.0014157,2.064020868,2.299797918
0.00142175,2.062493562,2.298061948
0.0014278,2.060258481,2.295797639
0.00143385,2.057501881,2.293004992
0.0014399,2.055639314,2.291269022
0.00144595,2.053963003,2.289608529
0.001452,2.051988682,2.287268743
0.00145805,2.049939857,2.285004435
0.0014641,2.047667525,2.282551434
0.00147015,2.045693203,2.280211648
0.0014762,2.044873674,2.279041755
0.00148225,2.042675844,2.276475539
0.0014883,2.039881993,2.273456461
0.00149435,2.038503693,2.271909183
0.0015004,2.037348901,2.270550598
0.00150645,2.035858847,2.268890105
0.0015125,2.03403353,2.266550319
0.00151855,2.032170963,2.264135057
0.0015246,2.031090674,2.262851948
0.00153065,2.029861379,2.261304671
0.0015367,2.027663549,2.258700716
0.00154275,2.026695014,2.257417608
0.0015488,2.02628525,2.256021284
0.00155485,2.024348179,2.253455067
0.0015609,2.022560114,2.251530405
0.00156695,2.021740585,2.25017182
0.001573,2.020585793,2.248662281
0.00157905,2.01969176,2.246964049
0.0015851,2.018760477,2.245265818
0.00159115,2.017382177,2.243416632
